date,id,content,username,likes,retweets,replies
2024-07-04 17:13:51+00:00,1808912119561400445,@Apple @AppleSupport buying an iphone was the worst decision of my life. I was a happy android user for close to 20years but I thought of trying an apple product but that decision turned out to be a nightmare for me.,pila_bhala,0,0,0
2024-07-04 17:08:54+00:00,1808910872657736110,@prem9700ray @Apple @AppleSupport Its very disappointing 🤦🏻,RishikeshRaut6,0,0,0
2024-07-04 17:08:47+00:00,1808910841779036422,@Apple how can I save “free form” as my default crop option? Extremely annoying that I can not freely adjust crop with out setting it each time.. maybe I’m missing something?,TheDeMontigny,0,0,0
2024-07-04 17:05:21+00:00,1808909977374920839,🚨#Breaking: Apple Removes VPN Apps From Russian App Store At Russia’s Request. @Apple #Russia,BryanBeaucham11,0,0,0
2024-07-04 17:00:49+00:00,1808908839472791705,🚨#BREAKING: Apple removes VPN apps from Russian App Store at Russia’s request,Worldsource24,22,5,0
2024-07-04 17:04:34+00:00,1808909780750131623,"Dear @apple
When will I be able to open two screens on my iphone simaltaneously, instead of jumping between tabs?",hassan_samra_,0,0,0
2024-07-04 17:02:50+00:00,1808909343359971876,@svpino Love to do math on @Apple,halder_kousik25,0,0,0
2024-07-04 17:01:19+00:00,1808908961887965469,"Well @Apple is helping Russian censors China-style. Price for do it in China was access to Chinese  market. 

But what Russians promised to @tim_cook ?",newalmcat,0,0,0
2024-07-04 09:20:32+00:00,1808793003844137265,"Apple has removed four VPN service apps from the Russian AppStore—Proton VPN, Red Shield VPN, NordVPN, and Le VPN.

According to a notice published by Red Shield and Le VPN, the company refers to Roskomnadzor, Russian internet watchdog https://t.co/BLuehvjn1h",mediazona_en,68,34,3
2024-07-04 17:01:09+00:00,1808908920532185128,@X @Meta @Google @Apple @Microsoft #Twitter #META #Google #Apple #Microsoft #Flipkart,Shubham29900879,0,0,0
2024-07-04 17:01:01+00:00,1808908889225675241,@pillow1215 @Apple ask megan,kronoGODNESS,0,0,0
2024-07-04 17:00:43+00:00,1808908812168146996,"it's been 14 days now ... https://t.co/QEfloLuHT7 not working (Safari - MACOS 15 beta 2) @apple @AppleSupport. edge, google chrome, firefox without problems https://t.co/gLuY9V7RiI",sebabaltic,0,0,0
2024-07-04 17:00:27+00:00,1808908746418008472,@LozzaFox @metpoliceuk @SadiqKhan That’s bollocks. I’ve never had an apple product I couldn’t fix and I’ve used them since 1992. @Apple,barry_atric,0,0,0
2024-07-04 17:00:19+00:00,1808908710946742591,"Ese @Apple, siempre a la vanguardia de la lucha contra censura",rusanola,0,0,0
2024-07-04 08:15:23+00:00,1808776606921507055,🚨 Breaking: Le VPN app removed from Russian App Store. Roskomnadzor tightens control over VPNs. Digital freedom at risk. Stay informed:,LeVPN,10,1,2
